Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
1390,Jimmy Johns,4,6,6,2,7,1,7,4,4,4,7,7,6,7,7,7,1,3,6,7,7,5,7,7,7,4,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7
1390,McDonalds,4,1,4,7,4,6,1,4,1,3,7,1,6,7,7,7,7,7,1,6,7,1,1,7,1,7,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1
1404,Chipotle,7,6,6,6,6,5,5,7,7,6,5,5,5,6,6,6,6,6,5,6,6,6,5,6,6,7,6,6,6,6,5,7,6,7,6,6,7,6,7,6,7
1404,Panera,5,6,6,6,6,5,7,7,6,7,6,5,6,6,6,7,7,6,5,5,7,6,6,7,7,7,5,6,6,7,5,6,6,7,6,6,7,6,7,7,6
1460,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1460,Panera,3,4,3,3,2,3,3,3,4,4,2,2,3,3,3,3,3,4,2,4,4,3,3,2,4,2,3,3,3,3,7,4,2,3,3,3,3,3,3,5,4
1469,Chipotle,5,6,5,4,4,5,5,5,7,5,4,7,5,6,4,6,6,4,5,5,5,3,5,4,6,4,6,4,7,6,4,5,4,4,5,4,6,5,5,4,4
1469,Jimmy Johns,5,6,5,4,4,4,6,6,6,5,7,4,6,4,6,5,5,6,5,4,5,5,6,5,5,5,7,6,6,5,4,6,3,5,5,6,5,5,5,6,5
1479,Subway,3,6,6,6,2,5,2,4,4,4,3,5,4,5,4,5,3,2,3,4,2,2,4,3,5,5,5,3,3,5,5,3,6,4,3,3,6,4,3,3,4
1479,McDonalds,5,3,3,5,5,3,5,3,4,4,6,4,3,3,2,4,3,3,4,4,5,2,5,4,3,2,2,2,5,4,5,3,5,4,3,5,5,5,3,3,5
1490,Chipotle,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4
1490,Panera,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4
1491,Firehouse Subs,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,McDonalds,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1510,Subway,5,5,5,3,5,5,5,4,3,5,6,4,5,5,5,5,4,5,6,5,5,5,6,6,6,4,5,4,5,4,4,3,3,3,6,5,5,5,5,4,4
1510,Panera,3,4,4,2,6,5,4,3,3,5,6,,4,4,4,3,3,,5,3,5,5,4,3,4,4,1,,5,5,4,4,3,3,5,4,4,5,6,4,3
1539,Chipotle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1539,McDonalds,5,7,7,4,7,7,4,7,4,7,7,7,7,4,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7
1542,Jersey Mikes,5,6,7,6,5,6,4,5,4,7,4,4,5,4,4,5,4,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,6,5
1542,Jimmy Johns,5,6,6,7,5,5,4,4,6,6,5,6,7,5,7,6,6,6,4,7,6,5,5,5,5,6,4,6,5,4,6,6,6,4,7,6,6,4,6,6,6
1551,Jersey Mikes,4,5,4,4,3,,2,4,,5,,3,4,3,3,4,3,3,4,3,4,3,2,2,4,2,,3,5,2,4,1,,,3,4,2,2,3,5,3
1551,Jimmy Johns,3,3,3,3,1,2,2,2,2,3,4,3,3,2,4,4,3,3,3,3,4,3,3,3,2,1,2,3,2,3,3,3,2,2,3,3,3,1,2,2,4
1555,Firehouse Subs,7,6,7,6,5,6,,4,5,5,6,,4,3,4,5,,,6,5,5,7,,6,6,,6,,,6,,4,5,5,6,6,6,5,,,
1555,Jersey Mikes,7,7,7,7,7,6,4,6,6,6,7,,4,3,4,4,4,,7,6,5,6,7,7,6,,5,,,6,7,7,7,6,6,6,6,5,5,6,7
1604,Jersey Mikes,1,5,3,1,7,7,4,4,2,7,6,3,3,3,5,4,2,,5,5,5,5,7,6,5,3,2,4,5,5,4,7,4,1,6,5,5,5,6,5,3
1604,Jimmy Johns,6,7,7,7,6,7,6,,5,7,6,5,3,3,3,4,1,,6,7,7,7,6,7,6,,7,1,6,7,7,4,7,5,7,6,7,7,6,4,7
1608,McDonalds,5,5,5,5,4,5,5,5,5,6,4,,6,5,5,4,4,4,4,4,5,5,5,5,5,5,6,,5,4,5,5,4,5,5,5,5,5,4,5,5
1614,Chipotle,6,7,4,5,6,6,6,5,4,6,7,6,6,6,6,5,7,7,5,6,6,5,5,5,7,5,5,3,6,5,5,6,6,7,7,6,5,6,7,7,6
1614,Panera,6,,7,7,5,7,6,6,7,6,5,5,6,6,5,6,5,5,6,5,6,6,5,4,5,5,7,5,7,6,6,7,6,7,5,7,7,6,6,7,6
1665,Subway,3,5,5,4,4,3,4,6,5,4,4,4,4,4,4,5,4,5,6,5,3,4,5,4,5,5,5,5,4,5,4,5,5,6,4,4,4,5,4,4,5
1665,Panera,4,4,5,5,5,4,5,4,4,5,5,4,4,5,4,4,3,4,6,5,5,5,4,5,4,4,4,4,5,6,6,4,5,5,5,5,4,5,5,5,4
1670,Chipotle,6,6,5,4,3,5,4,4,3,4,4,4,4,3,6,4,3,3,4,4,4,4,4,5,5,5,4,3,4,4,5,4,6,5,5,4,5,3,4,3,3
1670,Firehouse Subs,4,3,4,4,4,4,5,4,5,5,5,4,4,4,4,5,3,4,5,4,4,5,3,5,4,3,4,4,4,4,4,3,4,4,5,3,2,4,4,5,4
1759,Jersey Mikes,6,6,7,6,5,7,5,4,5,4,4,5,4,4,6,4,4,5,4,5,6,5,6,5,6,4,3,7,6,7,4,5,6,5,6,7,7,6,6,4,5
1759,Jimmy Johns,6,5,7,4,6,5,5,4,5,5,5,5,6,5,5,6,4,4,5,6,6,5,7,5,6,4,7,6,6,7,7,5,6,4,7,7,6,6,6,5,5
1769,Chipotle,4,7,4,7,7,7,5,7,6,7,7,,4,2,5,4,3,3,7,6,7,7,6,6,6,3,7,6,7,7,7,7,4,4,6,7,7,5,1,3,4
1769,Jersey Mikes,7,7,7,7,5,6,5,5,7,7,4,,7,3,5,6,1,1,4,7,5,5,6,6,7,3,7,6,6,7,3,6,7,6,7,6,7,7,7,5,7
1782,Subway,5,6,5,6,5,5,5,6,5,6,4,4,5,4,5,5,6,5,4,5,5,5,7,6,6,4,7,5,5,5,4,5,4,6,6,5,5,6,7,4,5
1782,Chipotle,6,6,5,6,6,4,5,6,5,6,4,4,5,3,6,5,4,4,4,4,6,3,6,5,5,4,5,6,6,6,5,5,6,5,7,7,6,5,,4,5
1786,Jersey Mikes,4,6,7,4,7,7,5,6,6,7,7,6,5,4,5,7,4,5,6,6,6,6,5,6,6,6,7,7,6,5,5,5,5,4,6,5,6,6,6,6,5
1786,Panera,5,5,7,6,6,5,7,5,5,7,5,7,5,5,5,6,4,5,6,6,7,6,5,7,4,5,7,6,7,5,6,5,4,6,7,6,6,7,7,7,6
1835,Jimmy Johns,6,7,7,7,7,7,6,7,7,7,6,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6,6,6,7,7,7,7,7,7
1835,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
1855,Chipotle,5,4,5,5,7,4,6,6,5,5,5,6,4,5,4,6,5,4,6,5,5,5,5,4,5,6,6,5,4,5,7,4,4,6,6,6,6,7,5,6,5
1855,Panera,5,5,5,5,4,6,7,6,5,5,4,6,6,4,4,6,5,7,6,5,6,6,6,7,5,5,4,5,5,5,6,5,6,7,7,6,5,5,5,6,6
1878,Subway,5,6,5,5,4,7,,4,4,5,5,5,6,3,6,6,4,5,5,6,7,5,6,5,6,4,5,6,6,5,6,4,6,4,5,6,,5,5,5,6
1878,McDonalds,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
1889,Firehouse Subs,6,5,5,7,4,7,4,5,5,5,5,7,6,5,7,7,7,7,7,6,5,4,5,5,6,5,5,4,5,5,4,6,6,4,4,5,5,6,5,5,4
1889,Jimmy Johns,6,7,5,6,4,5,4,5,5,6,7,5,5,7,5,7,5,5,4,6,7,4,4,5,6,5,5,5,6,7,5,6,6,5,6,5,6,5,4,7,7
1895,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1895,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1897,Chipotle,4,6,6,4,6,4,4,4,6,5,5,4,5,5,4,6,4,4,4,6,6,5,6,7,6,3,5,6,4,5,6,4,5,4,5,5,5,5,3,4,5
1897,Panera,5,7,7,7,5,6,6,4,3,5,5,4,6,5,4,6,4,3,4,5,6,4,3,6,6,4,4,6,4,5,6,5,5,6,3,4,4,5,6,5,6
1947,Chipotle,6,6,5,7,7,7,7,7,7,5,6,7,7,6,6,7,6,7,6,7,6,7,6,5,7,6,6,5,6,5,6,6,5,7,6,7,7,6,6,7,7
1947,Jersey Mikes,6,6,7,7,7,6,5,7,6,6,7,6,6,6,6,7,6,7,7,5,7,6,7,6,6,5,5,6,5,7,7,7,6,7,7,7,6,7,6,6,6
1951,Subway,2,4,4,4,3,5,3,2,2,4,3,3,5,7,5,5,4,3,2,4,4,2,3,5,2,3,4,2,3,3,3,3,2,2,3,3,3,4,3,2,2
1951,Firehouse Subs,4,5,5,5,5,4,3,3,4,4,5,,5,6,4,5,,,4,4,3,3,3,4,4,3,3,1,4,5,4,4,2,3,4,4,5,4,4,4,4
1965,McDonalds,6,7,6,7,7,3,2,6,6,7,7,6,3,6,6,6,5,7,6,6,3,5,5,6,6,6,6,6,,6,6,5,6,7,6,3,6,6,3,5,7
1965,Panera,6,4,3,6,4,5,2,3,3,2,3,2,3,3,6,2,4,3,6,3,3,3,4,3,7,5,6,5,4,4,5,3,4,5,2,3,6,2,2,5,5
1969,Jimmy Johns,4,6,6,5,5,6,5,5,4,5,6,6,7,3,5,7,6,5,6,6,7,5,6,6,6,7,7,7,6,5,6,5,5,5,4,4,5,6,7,6,5
1969,McDonalds,6,5,6,6,7,5,7,5,6,5,6,6,7,4,5,7,6,6,7,6,6,3,4,6,4,7,7,5,6,4,6,6,5,7,5,5,7,6,5,6,6
1987,Chipotle,5,5,5,4,4,5,4,4,4,4,5,3,4,4,4,4,5,5,4,6,5,4,4,5,3,4,5,3,5,5,4,4,4,3,4,4,4,3,3,4,4
1987,Jimmy Johns,4,4,5,4,4,3,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,4
1999,Jersey Mikes,7,6,7,7,7,6,6,6,6,6,6,6,7,6,7,5,6,7,6,4,6,7,6,6,6,4,5,5,5,7,6,7,5,7,7,5,6,6,6,7,7
1999,Panera,3,5,4,3,2,1,3,3,5,3,3,3,1,2,1,2,2,1,3,4,5,2,4,5,3,1,4,4,4,2,5,5,4,4,5,4,4,4,3,2,4
2041,Firehouse Subs,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2041,Panera,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2044,Firehouse Subs,5,5,4,5,6,4,5,4,6,5,5,3,5,5,4,4,5,7,5,5,5,4,4,4,5,4,5,4,6,6,4,5,3,5,5,4,5,3,4,4,5
2044,Jimmy Johns,5,5,6,5,4,4,4,4,4,4,5,3,4,5,5,4,5,5,5,4,5,4,5,4,4,5,4,4,5,4,5,5,4,6,5,5,4,4,3,6,5
2050,Subway,7,7,7,7,7,7,7,4,4,7,7,4,7,7,7,7,7,,7,7,7,7,7,7,7,4,7,7,7,7,7,7,5,,7,7,7,7,5,7,
2050,Chipotle,6,5,7,5,7,7,7,4,7,7,6,3,6,3,1,4,1,,7,7,6,7,7,7,7,,7,7,7,7,4,4,1,4,7,7,7,7,7,,
2062,Subway,7,7,7,7,7,6,6,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,6,7,7,7,7,6,6,7,7
2062,Firehouse Subs,5,5,7,6,6,7,5,7,7,7,7,5,7,5,7,7,5,4,7,5,7,6,4,7,7,5,7,7,6,7,7,6,6,6,7,7,7,7,7,6,6
2063,Firehouse Subs,5,7,7,6,7,6,6,6,5,7,6,7,6,5,6,6,6,6,7,7,7,6,7,6,6,6,6,6,6,7,7,7,6,6,6,6,5,6,6,6,6
2063,Jersey Mikes,7,6,7,6,6,7,6,6,7,5,6,5,7,6,7,6,7,7,7,7,7,6,6,6,7,7,7,6,6,7,7,6,6,6,7,5,7,6,7,6,7
2088,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2159,Jimmy Johns,3,2,2,2,5,5,5,3,4,4,5,3,3,3,4,3,4,,5,7,5,,4,4,6,4,6,6,3,5,4,4,4,4,5,4,6,5,4,5,
2159,Panera,6,7,7,6,5,7,6,4,5,7,5,5,7,5,4,5,4,5,5,7,6,4,5,7,7,7,5,6,5,5,5,7,7,6,6,5,5,5,7,4,6
2165,Chipotle,6,6,4,4,5,4,5,4,4,4,4,4,5,4,6,5,4,3,5,4,4,4,4,5,5,3,5,5,5,5,5,5,5,4,6,5,4,5,4,4,5
2165,McDonalds,6,4,4,5,4,4,3,5,4,5,4,4,5,4,5,6,5,3,3,5,4,5,5,4,4,5,5,5,5,4,4,4,4,4,3,4,5,3,4,3,5
2182,Subway,7,6,6,5,5,5,5,6,5,5,6,4,6,5,5,6,7,5,6,5,6,5,5,5,5,6,5,5,6,6,6,6,6,6,5,5,6,6,6,5,4
2182,Panera,6,6,6,7,6,6,6,6,6,,1,4,4,3,7,3,6,7,6,6,7,6,5,6,6,5,6,4,6,7,7,6,6,6,7,5,5,3,,6,7
2187,Chipotle,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,6,6,5,4,4,5,5,7,5,4,4,4,5,5,4,4,5,4,5,5,5,5,5,,4,4
2187,Jimmy Johns,6,5,5,4,6,6,6,5,4,6,5,5,5,5,5,5,5,5,5,6,6,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4
2197,Jersey Mikes,5,4,3,4,4,3,5,4,3,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,4,4,4,3
2197,Jimmy Johns,6,5,6,4,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
2207,Subway,7,7,7,7,4,7,7,5,7,7,7,7,5,6,5,4,4,6,7,7,6,7,7,7,7,4,5,6,7,7,7,4,7,7,7,7,7,7,7,5,7
2207,Firehouse Subs,7,7,7,7,7,7,7,4,7,7,7,7,7,5,7,5,3,5,7,7,5,7,5,7,6,5,5,5,7,7,7,5,7,6,7,,7,7,7,4,7
2228,Jersey Mikes,4,5,4,5,4,5,4,4,4,4,4,5,4,5,4,4,6,5,5,5,6,5,4,4,5,4,5,4,4,4,5,5,5,5,5,6,4,5,4,6,5
2228,McDonalds,7,6,6,7,6,6,6,7,6,7,6,7,6,7,7,6,6,6,6,6,7,6,5,6,7,7,7,6,7,7,6,6,6,5,6,5,7,7,5,5,6
2275,Chipotle,3,4,5,4,4,4,3,3,4,4,5,3,4,3,5,5,3,4,5,4,4,3,4,3,4,4,4,3,3,4,5,4,3,4,4,4,5,4,5,4,4
2275,Jimmy Johns,5,5,5,5,3,5,4,3,4,4,5,4,5,4,4,5,4,3,3,5,4,4,4,5,5,4,4,4,4,5,4,5,5,4,5,4,4,5,5,5,5
2285,Firehouse Subs,7,6,6,7,6,7,7,6,7,7,6,7,7,6,6,7,7,7,6,7,7,6,6,7,6,6,6,7,7,6,6,6,6,7,6,6,7,7,7,6,7
2285,McDonalds,7,7,7,6,6,7,6,7,6,6,6,7,7,6,7,6,7,6,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,6,6
2378,Chipotle,6,6,7,7,5,4,6,,3,4,5,,6,5,6,6,3,,3,6,6,4,3,6,6,4,3,6,4,4,3,3,3,4,4,4,5,6,,3,5
2378,Jersey Mikes,5,4,5,2,4,5,6,,,6,5,,5,5,4,6,,,3,5,5,,5,6,3,4,5,3,4,4,5,4,4,4,5,5,5,5,4,,4
2381,Chipotle,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,6,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5
2381,McDonalds,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2384,Subway,5,7,4,6,6,5,4,4,6,6,5,7,7,2,7,5,7,5,6,7,7,6,5,7,5,7,3,6,3,5,6,5,5,6,7,5,5,7,6,6,6
2384,McDonalds,5,3,4,5,6,5,5,5,3,4,2,3,6,6,6,6,6,5,4,6,4,6,5,4,6,7,4,4,5,5,5,5,2,3,4,5,5,5,6,6,1
2387,Subway,7,5,6,6,6,6,5,6,7,6,7,5,6,5,6,6,6,6,4,7,6,4,6,4,5,4,6,6,5,6,6,5,5,6,6,6,6,6,3,5,6
2387,McDonalds,7,6,6,6,5,6,5,5,5,6,6,5,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,5,5,7,6,6,6,6,6,6,6,6,6,5
2397,Subway,7,4,7,7,7,7,7,6,6,7,7,7,4,7,7,6,7,7,6,7,7,7,7,7,7,5,6,6,6,7,7,7,,7,7,7,7,7,7,6,6
2397,Firehouse Subs,5,7,7,7,7,7,5,7,7,,4,,7,7,6,,,7,,,,,,7,7,7,,,6,7,,,7,,5,7,,,,7,
2429,McDonalds,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,4,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2429,Panera,7,4,5,5,7,5,5,4,5,6,5,5,5,7,4,4,3,3,5,4,5,5,3,5,6,6,2,1,7,7,5,5,4,4,6,4,5,5,7,3,2
2441,Jimmy Johns,4,5,4,4,4,2,4,4,4,3,4,4,4,4,5,4,4,3,3,6,5,4,5,3,5,4,5,5,4,4,3,4,5,4,4,4,4,3,6,4,4
2441,Panera,4,5,5,5,2,5,5,5,5,5,5,4,3,3,3,3,3,4,4,5,4,4,4,4,5,4,2,3,4,4,5,5,5,4,5,5,6,5,5,4,5
2442,Jersey Mikes,6,5,5,6,5,4,5,4,5,4,5,3,5,4,4,5,3,3,4,4,5,5,6,6,5,3,4,4,4,5,5,6,5,4,6,5,,6,5,4,5
2442,Panera,6,6,6,5,6,5,6,5,6,5,5,4,5,4,4,5,3,,5,4,5,5,,5,4,5,4,4,4,5,4,6,5,6,6,5,,6,6,4,5
2445,Subway,7,7,7,7,6,7,,,7,5,7,,7,7,,7,7,7,7,7,7,,7,7,7,,7,7,7,7,5,7,5,7,7,7,6,6,7,,5
2445,Chipotle,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,Jersey Mikes,5,5,6,6,6,6,5,7,5,6,5,7,7,5,6,5,5,6,5,7,5,4,6,6,7,7,6,5,5,6,6,4,6,5,5,5,6,6,6,6,6
2447,Panera,5,5,4,5,5,5,6,5,6,5,5,6,5,4,5,6,6,6,7,5,6,4,7,6,7,6,5,6,4,6,5,5,5,6,6,6,5,6,6,6,7
2452,Subway,4,4,4,5,4,5,4,6,2,6,5,4,5,5,5,4,7,,3,5,7,2,5,3,2,7,5,,3,,,,6,,4,4,3,5,6,3,5
2452,Firehouse Subs,5,4,6,5,6,5,5,4,7,6,6,4,6,4,4,5,6,6,5,6,6,6,5,6,5,5,4,,5,3,6,6,5,6,6,7,6,3,6,5,7
2456,Subway,7,7,6,7,7,7,7,,5,7,7,7,7,7,5,5,1,1,6,7,7,5,6,7,7,,7,7,7,6,5,7,7,,7,7,6,5,7,4,7
2456,McDonalds,4,4,4,4,4,4,2,4,4,7,4,4,4,4,4,4,,,4,5,5,4,4,4,4,,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4
2459,Firehouse Subs,3,2,4,2,2,4,3,1,,1,1,,1,6,3,4,3,1,,6,1,2,,2,,1,,1,,,,2,2,4,,1,1,1,1,1,3
2459,Jimmy Johns,3,1,,5,1,2,3,2,4,2,,5,1,,,,2,4,3,,4,2,4,2,,2,5,3,3,,1,4,5,2,1,7,,2,1,1,3
2470,Jimmy Johns,6,7,7,6,6,6,6,,6,6,5,6,5,6,6,6,,,6,6,7,7,7,5,6,6,5,6,6,5,6,7,6,6,7,6,7,7,7,,6
2470,Panera,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2477,Chipotle,5,7,6,7,6,5,6,5,6,6,6,6,6,7,5,5,2,3,4,5,7,4,6,7,6,6,7,7,6,7,6,6,7,6,6,6,6,5,,6,5
2477,Jersey Mikes,6,6,6,6,6,7,6,,6,6,7,,6,5,6,6,4,6,,6,7,5,7,5,5,5,7,,7,6,5,5,6,6,6,7,6,7,7,5,6
2485,Subway,4,5,5,5,4,5,3,3,3,5,4,3,4,4,5,5,3,3,3,5,5,4,5,5,5,5,4,4,5,3,3,3,4,4,4,4,3,3,5,4,3
2485,Jersey Mikes,5,5,5,5,4,4,3,4,4,4,5,3,5,4,5,5,3,2,4,5,5,4,4,5,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,4,4
2586,Jimmy Johns,7,7,6,7,6,5,7,6,5,6,5,5,7,6,5,6,5,6,6,5,7,5,5,5,6,4,7,5,5,6,7,6,5,7,6,5,6,6,6,6,6
2586,McDonalds,7,6,7,7,7,6,3,5,5,7,7,3,6,7,2,5,6,7,7,7,7,6,4,7,5,5,6,3,7,5,4,4,7,3,5,7,7,4,7,5,3
2595,Chipotle,6,7,6,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
2595,Firehouse Subs,7,7,7,7,6,7,7,7,6,7,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6
2598,Firehouse Subs,6,3,5,3,7,5,4,2,3,4,2,5,3,6,6,2,3,2,4,6,4,7,7,5,7,3,5,2,4,4,4,3,5,4,5,2,6,3,2,2,4
2598,Jersey Mikes,5,4,6,2,6,4,5,2,2,5,3,3,5,6,7,2,5,6,4,5,3,4,2,4,7,2,6,6,3,4,2,3,4,5,6,3,3,2,3,5,7
2640,Jimmy Johns,4,5,6,5,5,5,5,4,5,5,5,,5,6,5,6,4,,5,5,5,5,5,4,5,5,,5,5,6,5,5,5,5,5,5,,5,5,5,5
2640,Panera,5,5,5,5,5,4,5,3,4,4,5,4,4,4,4,5,5,5,4,4,5,5,4,5,4,5,,5,4,5,4,4,4,4,4,4,,4,5,4,4
2652,Subway,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2652,Firehouse Subs,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2665,Jersey Mikes,6,6,6,7,5,6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,5,6,5,6,5,6,6,5,6,6,5,7,7,5,5,6,6,6,6,5
2665,McDonalds,6,6,6,6,5,6,6,7,5,5,7,6,6,6,6,5,6,7,6,6,6,6,6,6,6,7,6,6,7,6,7,7,6,6,6,6,6,6,7,6,5
2666,Jersey Mikes,5,6,7,6,5,7,5,6,5,6,6,6,5,7,6,5,6,6,5,7,6,6,5,7,6,6,6,6,7,7,6,6,5,7,6,6,6,7,6,7,6
2666,McDonalds,6,5,7,7,6,6,6,5,7,6,5,6,5,6,6,5,7,6,6,6,5,7,6,5,7,6,5,5,6,6,6,6,7,5,6,6,6,5,7,6,6
2668,Chipotle,5,5,6,5,5,5,4,4,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,5,6,5,7,5,5,5,5
2668,Jimmy Johns,4,4,5,4,4,4,4,5,4,4,4,4,4,5,5,3,5,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,5,4,4,5
2671,Subway,5,5,5,5,4,5,4,,4,5,4,4,5,4,5,5,,,5,5,4,5,5,6,4,,3,5,4,4,5,5,5,,4,3,4,4,5,5,5
2671,Chipotle,4,4,4,2,4,4,5,5,4,5,4,4,3,2,3,3,,,4,3,5,5,5,4,5,,4,,4,5,4,4,4,,5,5,4,5,,3,3
2674,Subway,7,7,7,7,7,7,7,7,3,7,7,1,1,1,1,1,4,3,1,7,7,1,7,7,7,,7,7,4,3,4,,,,4,4,5,,5,1,
2674,Panera,7,7,7,7,7,7,7,7,7,7,6,4,7,1,3,5,7,7,2,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,2,
2740,Firehouse Subs,5,4,6,7,6,6,5,7,4,7,6,3,6,5,6,6,4,6,6,7,6,7,5,6,4,5,6,5,3,7,6,6,4,7,6,7,7,6,5,6,6
2740,Panera,6,6,7,,5,6,6,5,6,6,,5,7,7,6,6,6,5,6,7,6,6,6,7,5,7,7,6,7,7,6,7,6,7,6,6,6,7,,6,7
2766,Subway,7,7,7,7,7,5,7,6,5,5,7,6,6,4,7,7,5,7,6,6,7,4,7,6,6,4,6,7,4,7,6,7,5,5,7,5,6,6,6,7,7
2766,Chipotle,6,6,4,5,4,4,4,4,6,7,7,5,3,6,4,7,4,4,7,4,4,5,7,7,7,5,5,5,7,7,4,5,6,5,7,7,7,4,6,6,7
